[2026-05-13T02:58:06.299Z] GET http://localhost:5173/api/company-list?list_type=global&page=1&page_size=1 → 200 (156ms, 514B)
[2026-05-13T02:58:06.455Z] GET http://localhost:5173/api/company-list?list_type=leader&page=1&page_size=20 → 200 (40ms, 5450B)
[2026-05-13T02:58:28.132Z] GET http://localhost:5173/dashboard → 200 (2ms, 402B)
[2026-05-13T02:58:28.137Z] GET http://localhost:5173/@vite/client → 200 (2ms, 137703B)
[2026-05-13T02:58:28.137Z] GET http://localhost:5173/src/main.ts → 200 (1ms, 1533B)
[2026-05-13T02:58:28.139Z] GET http://localhost:5173/node_modules/.vite/deps/vue.js?v=1ead3934 → 200 (?ms, 5709B)
[2026-05-13T02:58:28.139Z] GET http://localhost:5173/node_modules/.vite/deps/pinia.js?v=5240ed46 → 200 (1ms, 47700B)
[2026-05-13T02:58:28.141Z] GET http://localhost:5173/node_modules/.vite/deps/echarts.js?v=c18a41f0 → 200 (?ms, 2587955B)
[2026-05-13T02:58:28.141Z] GET http://localhost:5173/src/App.vue → 200 (3ms, 3185B)
[2026-05-13T02:58:28.141Z] GET http://localhost:5173/src/router/index.ts → 200 (3ms, 3209B)
[2026-05-13T02:58:28.141Z] GET http://localhost:5173/src/styles/echarts-theme.ts → 200 (4ms, 5425B)
[2026-05-13T02:58:28.141Z] GET http://localhost:5173/src/styles/global.scss → 200 (4ms, 3296B)
[2026-05-13T02:58:28.142Z] GET http://localhost:5173/node_modules/vite/dist/client/env.mjs → 200 (3ms, 4438B)
[2026-05-13T02:58:28.142Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-EXJIBF44.js?v=07ed0d97 → 200 (?ms, 386190B)
[2026-05-13T02:58:28.142Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-PZ5AY32C.js?v=07ed0d97 → 200 (?ms, 234B)
[2026-05-13T02:58:28.143Z] GET http://localhost:5173/node_modules/.vite/deps/chunk-YFT6OQ5R.js?v=07ed0d97 → 200 (?ms, 4624B)
[2026-05-13T02:58:28.144Z] GET http://localhost:5173/src/stores/filter.ts → 200 (2ms, 5791B)
[2026-05-13T02:58:28.144Z] GET http://localhost:5173/src/App.vue?vue&type=style&index=0&scoped=7a7a37b1&lang.scss → 200 (2ms, 684B)
[2026-05-13T02:58:28.144Z] GET http://localhost:5173/@id/__x00__plugin-vue:export-helper → 200 (2ms, 1126B)
[2026-05-13T02:58:28.144Z] GET http://localhost:5173/node_modules/.vite/deps/vue-router.js?v=f6704470 → 200 (?ms, 89837B)
[2026-05-13T02:58:28.146Z] GET http://localhost:5173/src/api/endpoints.ts → 200 (1ms, 7011B)
[2026-05-13T02:58:28.147Z] GET http://localhost:5173/src/api/client.ts → 200 (?ms, 2113B)
[2026-05-13T02:58:28.147Z] GET http://localhost:5173/node_modules/.vite/deps/axios.js?v=b8c42e4a → 200 (?ms, 99771B)
[2026-05-13T02:58:28.149Z] GET http://localhost:5173/api/meta/dimensions → 200 (43ms, 2549B)
